fips,County,State,Alpha code,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25,population,total cases,total deaths,hospital beds,hospital beds usage,hospital beds covid,hospital icu beds,hospital icu beds usage,hospital icu beds covid,vaccination initiated,vaccination completed,vaccination initiated ratio,vaccination completed ratio,vaccination addl dose,vaccination addl dose ratio,vaccination booster,vaccination booster ratio
12021,Collier County,Florida,FL,25656,2559,307777,126513,384902,105399,723,759.0,571.0,24.0,85.0,55.0,2.0,333886.0,284183.0,0.867,0.738,128212.0,0.333,51907.0,0.135
12023,Columbia County,Florida,FL,5922,116,50436,9466,71686,25712,153,105.0,92.0,8.0,15.0,15.0,2.0,36330.0,31171.0,0.507,0.435,11769.0,0.164,4378.0,0.061
12031,Duval County,Florida,FL,91138,11484,699621,238387,957755,317809,3643,3437.0,2563.0,96.0,420.0,310.0,11.0,703995.0,606560.0,0.735,0.633,261103.0,0.273,89783.0,0.094
12033,Escambia County,Florida,FL,36715,5002,220897,67646,318316,94491,1107,1286.0,959.0,39.0,124.0,95.0,4.0,217874.0,184541.0,0.684,0.58,77223.0,0.243,28930.0,0.091
12035,Flagler County,Florida,FL,6673,387,99856,31692,115081,28937,172,163.0,89.0,6.0,18.0,11.0,1.0,86944.0,75932.0,0.756,0.66,38639.0,0.336,16227.0,0.141
12053,Hernando County,Florida,FL,13404,1087,155415,33217,193920,53794,972,568.0,406.0,19.0,63.0,47.0,2.0,124296.0,110159.0,0.641,0.568,52055.0,0.268,20677.0,0.107
12055,Highlands County,Florida,FL,6129,408,82018,15198,106221,30726,421,293.0,201.0,11.0,54.0,43.0,2.0,71031.0,57819.0,0.669,0.544,26440.0,0.249,10599.0,0.1
12057,Hillsborough County,Florida,FL,142206,16874,1045746,396672,1471968,479357,4295,4098.0,3248.0,130.0,484.0,374.0,13.0,1152175.0,971007.0,0.783,0.66,412693.0,0.28,158348.0,0.108
12061,Indian River County,Florida,FL,10126,1558,132176,44813,159923,42690,439,324.0,258.0,15.0,61.0,17.0,0.0,132443.0,111638.0,0.828,0.698,56068.0,0.351,26018.0,0.163
12069,Lake County,Florida,FL,27378,2468,305473,82399,367118,108896,1492,750.0,618.0,34.0,89.0,47.0,1.0,286714.0,250642.0,0.781,0.683,116962.0,0.319,47868.0,0.13
12071,Lee County,Florida,FL,62120,5267,621503,199522,770577,241385,2210,1732.0,1475.0,56.0,165.0,104.0,12.0,584969.0,500088.0,0.759,0.649,233070.0,0.302,92902.0,0.121
12073,Leon County,Florida,FL,66072,10762,176899,87075,293582,113603,449,867.0,743.0,17.0,68.0,54.0,0.0,199720.0,173475.0,0.68,0.591,86862.0,0.296,38328.0,0.131
