County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Douglas County, Kansas",27995,3015,71473,34917
"Johnson County, Kansas",50357,11791,425339,246373
"Leavenworth County, Kansas",6350,593,57333,20727
"Riley County, Kansas",23598,2075,36214,16944
"Sedgwick County, Kansas",52810,5813,343213,115796
"Shawnee County, Kansas",16633,1439,120306,36944
"Wyandotte County, Kansas",15168,1574,106068,24162
"Boone County, Kentucky",11713,1890,92419,33010
"Bullitt County, Kentucky",6136,666,60221,12848
"Campbell County, Kentucky",7997,1434,66308,26097
"Christian County, Kentucky",11345,722,41122,8978
"Daviess County, Kentucky",8716,580,69927,17194
"Fayette County, Kentucky",44943,9462,210094,101028
"Hardin County, Kentucky",9995,963,74400,18702
"Jefferson County, Kentucky",65925,10218,538628,205981
"Kenton County, Kentucky",14444,2701,116903,45051
"McCracken County, Kentucky",5663,512,46913,14985
"Madison County, Kentucky",15448,2298,60613,20459
"Oldham County, Kentucky",4788,586,47899,21728
"Pulaski County, Kentucky",4785,567,46701,7910
"Warren County, Kentucky",21081,2467,86424,27307
"Ascension Parish, Louisiana",10251,1545,86336,24758
"Bossier Parish, Louisiana",11516,1373,86021,24478
"Caddo Parish, Louisiana",19167,1475,157002,38770
"Calcasieu Parish, Louisiana",17888,1133,134552,32805
"East Baton Rouge Parish, Louisiana",68515,6483,282183,108161
"Iberia Parish, Louisiana",6039,417,45156,5807
"Jefferson Parish, Louisiana",32090,4503,300465,95313
"Lafayette Parish, Louisiana",21027,2922,167871,62040
"Lafourche Parish, Louisiana",10189,520,66483,15600
"Livingston Parish, Louisiana",12856,913,98194,20370
"Orleans Parish, Louisiana",34569,4119,263713,114846
"Ouachita Parish, Louisiana",16876,1369,103628,29639
"Rapides Parish, Louisiana",11650,704,84026,21733
"St. Landry Parish, Louisiana",7885,217,52252,8292
"St. Tammany Parish, Louisiana",20803,2034,188795,68299
"Tangipahoa Parish, Louisiana",14583,389,88965,18091
"Terrebonne Parish, Louisiana",8866,443,70300,13626
"Androscoggin County, Maine",11599,1315,78671,18328
"Aroostook County, Maine",4152,440,51033,11931
"Cumberland County, Maine",24683,4953,228044,122325
"Kennebec County, Maine",10555,1652,91649,27704
"Penobscot County, Maine",15352,1884,111694,30737
"York County, Maine",15704,1820,162849,61772
"Allegany County, Maryland",7433,452,47997,10908
"Anne Arundel County, Maryland",46557,7974,414905,198251
"Baltimore County, Maryland",77016,14807,587546,253613
"Calvert County, Maryland",7382,1083,65086,23108
"Carroll County, Maryland",15328,2382,121948,48923
"Cecil County, Maryland",7997,1693,74003,21435
"Charles County, Maryland",13581,1919,116368,37865
"Frederick County, Maryland",24482,4196,196560,93266
"Harford County, Maryland",19547,2199,186049,75407
"Howard County, Maryland",27928,7748,228681,149040
"Montgomery County, Maryland",83992,20406,731658,445874
"Prince George's County, Maryland",87130,8548,654522,241562
"St. Mary's County, Maryland",10094,1953,78147,31710
"Washington County, Maryland",13624,738,108430,27059
"Wicomico County, Maryland",15600,2260,65483,20670
"Baltimore city, Maryland",53829,9903,400435,139302
"Barnstable County, Massachusetts",14988,2854,185243,92750
"Berkshire County, Massachusetts",11556,1325,96703,37741
"Bristol County, Massachusetts",51635,7170,411254,127763
"Essex County, Massachusetts",73882,13251,567052,235957
"Franklin County, Massachusetts",4976,1978,54249,22270
"Hampden County, Massachusetts",45481,5200,319900,95504
"Hampshire County, Massachusetts",38743,4625,101614,53867
"Middlesex County, Massachusetts",157922,46253,1147738,678222
"Norfolk County, Massachusetts",64570,17612,514341,293172
"Plymouth County, Massachusetts",46282,10540,378068,161778
"Suffolk County, Massachusetts",105167,25729,538073,268356
"Worcester County, Massachusetts",82099,14619,605658,228258
"Allegan County, Michigan",8637,821,84656,21993
"Bay County, Michigan",8202,1456,74767,16713
"Berrien County, Michigan",12789,737,107856,32753
"Calhoun County, Michigan",11339,176,91659,21869
"Clinton County, Michigan",7691,780,55203,17633
"Eaton County, Michigan",8850,202,78109,22816
"Genesee County, Michigan",33704,1785,280240,66902
"Grand Traverse County, Michigan",7488,543,70440,29270
"Ingham County, Michigan",55000,6489,174410,69513
"Ionia County, Michigan",5938,500,47056,9539
"Jackson County, Michigan",14449,827,112289,23864
"Kalamazoo County, Michigan",40148,4088,165918,67410
"Kent County, Michigan",62767,9775,443424,174548
"Lapeer County, Michigan",6401,356,64060,13110
"Lenawee County, Michigan",8881,1327,69730,16779
"Livingston County, Michigan",15538,1934,141609,57748
"Macomb County, Michigan",70773,8837,624277,172439
"Marquette County, Michigan",10524,1498,44551,16378
"Midland County, Michigan",6067,799,60661,23227
"Monroe County, Michigan",11663,861,111555,25008
"Montcalm County, Michigan",5116,90,48326,7792
"Muskegon County, Michigan",14973,562,122618,27518
"Oakland County, Michigan",102872,22040,912407,461452
"Ottawa County, Michigan",41517,4335,190500,71256
"Saginaw County, Michigan",18124,842,130608,32171
"St. Clair County, Michigan",12162,801,115938,22544
"Shiawassee County, Michigan",5072,565,48947,10335
"Van Buren County, Michigan",5368,143,53355,12957
"Washtenaw County, Michigan",65481,15071,235123,136130
"Wayne County, Michigan",150594,16120,1194517,326489
"Anoka County, Minnesota",28882,3242,253572,77404
"Blue Earth County, Minnesota",15123,2800,40913,14558
